time since start in seconds,Sensor on channel 0 Pressure (mbar),Sensor on channel 1 Pressure (mbar),Sensor on channel 2 Pressure (mbar),Sensor on channel 3 Pressure (mbar),Sensor on channel 4 Pressure (mbar),Sensor on channel 5 Pressure (mbar),Sensor on channel 6 Pressure (mbar),Sensor on channel 7 Pressure (mbar),Sensor on channel 0 Temperature (C),Sensor on channel 1 Temperature (C),Sensor on channel 2 Temperature (C),Sensor on channel 3 Temperature (C),Sensor on channel 4 Temperature (C),Sensor on channel 5 Temperature (C),Sensor on channel 6 Temperature (C),Sensor on channel 7 Temperature (C)
0,1004.02,1007.58,1000.75,1009.90,997.65,1006.62,999.45,1008.15,25.67,25.18,25.83,25.90,26.09,25.96,26.29,25.84
120,1004.20,1007.84,1001.14,1009.98,997.70,1006.70,999.52,1008.30,26.19,25.54,26.52,26.63,26.76,26.47,27.01,26.53
